by,bin,n_plays,actual
Q1,0.0,16817,0.011833263959089017
Q1,0.05,26976,0.05356613285883748
Q1,0.1,22083,0.09962414527011729
Q1,0.15,19733,0.15866822074697207
Q1,0.2,27237,0.19855343833755554
Q1,0.25,20285,0.25048065072713827
Q1,0.3,20452,0.29845491883434383
Q1,0.35,26490,0.3497923744809362
Q1,0.4,32721,0.40328840805598853
Q1,0.45000002,29946,0.44703800173645897
Q1,0.5,33058,0.4997277512251195
Q1,0.55,32813,0.5510316033279493
Q1,0.6,28818,0.6028176833923242
Q1,0.65000004,31299,0.6497012684111313
Q1,0.7,27995,0.70319699946419
Q1,0.75,21223,0.7495641520991377
Q1,0.8,22853,0.7978383582024242
Q1,0.85,25930,0.8405707674508291
Q1,0.90000004,22982,0.9008354364285093
Q1,0.95,29009,0.948774518252956
Q1,1.0,17369,0.9868155909954517
Q2,0.0,47763,0.006615999832506333
Q2,0.05,40630,0.048560177208958895
Q2,0.1,31197,0.09821457191396608
Q2,0.15,26807,0.15350468161301153
Q2,0.2,29014,0.20841662645619355
Q2,0.25,22857,0.24574528590803693
Q2,0.3,22739,0.30304762742424907
Q2,0.35,22972,0.34825004353125544
Q2,0.4,20217,0.40233466884305286
Q2,0.45000002,20099,0.44813174784815163
Q2,0.5,21069,0.49575205277896434
Q2,0.55,21490,0.5504420660772452
Q2,0.6,20973,0.6019644304582081
Q2,0.65000004,21451,0.6509253647848585
Q2,0.7,24971,0.6972087621641103
Q2,0.75,24716,0.7418271564978152
Q2,0.8,27067,0.7955813352052314
Q2,0.85,29935,0.8508434942375146
Q2,0.90000004,33022,0.9007328447701533
Q2,0.95,41003,0.9534668195010121
Q2,1.0,51232,0.9924656464709557
Q3,0.0,83798,0.005584858827179647
Q3,0.05,37342,0.04228482673665042
Q3,0.1,23408,0.10163192071086807
Q3,0.15,19960,0.15065130260521042
Q3,0.2,17740,0.1914881623449831
Q3,0.25,15847,0.2525399129172714
Q3,0.3,15722,0.30975702836789215
Q3,0.35,14609,0.3553973577931412
Q3,0.4,13657,0.40462766346928314
Q3,0.45000002,12165,0.450308261405672
Q3,0.5,12794,0.49452868532124433
Q3,0.55,12408,0.5447292069632496
Q3,0.6,14033,0.5961661797192332
Q3,0.65000004,14555,0.6483682583304706
Q3,0.7,15057,0.6975493126120741
Q3,0.75,16271,0.748017946038965
Q3,0.8,18044,0.802371979605409
Q3,0.85,21182,0.8509583608724388
Q3,0.90000004,25776,0.9004500310366232
Q3,0.95,38176,0.958481768650461
Q3,1.0,85602,0.9937267820845307
Q4,0.0,156731,0.002973247155955108
Q4,0.05,32553,0.04196233834055233
Q4,0.1,17413,0.09297651180152759
Q4,0.15,13687,0.14524731497040988
Q4,0.2,11853,0.19978064624989453
Q4,0.25,10692,0.2610362888140666
Q4,0.3,11227,0.32038834951456313
Q4,0.35,9958,0.37407109861417953
Q4,0.4,7869,0.4174609226077011
Q4,0.45000002,6555,0.4634630053394355
Q4,0.5,7153,0.48734796588843843
Q4,0.55,7948,0.5328384499245093
Q4,0.6,8649,0.5809920221990982
Q4,0.65000004,8518,0.6361822023949284
Q4,0.7,9853,0.6887242464224094
Q4,0.75,10687,0.7387480116028821
Q4,0.8,11308,0.8004067916519279
Q4,0.85,13088,0.855898533007335
Q4,0.90000004,17098,0.904550239794128
Q4,0.95,33136,0.9571764847899565
Q4,1.0,148172,0.9970979672272764
